DATAFLOW,REF_AREA:Geographic area,INDICATOR:Indicator,SEX:Sex,TIME_PERIOD:Time period,OBS_VALUE:Observation Value,UNIT_MULTIPLIER:Unit multiplier,UNIT_MEASURE:Unit of measure,OBS_STATUS:Observation Status,OBS_CONF:Observation confidentaility,LOWER_BOUND:Lower Bound,UPPER_BOUND:Upper Bound,WGTD_SAMPL_SIZE:Weighted Sample Size,OBS_FOOTNOTE:Observation footnote,SERIES_FOOTNOTE:Series footnote,DATA_SOURCE:Data Source,SOURCE_LINK:Citation of or link to the data source,CUSTODIAN:Custodian,TIME_PERIOD_METHOD:Time period activity related to when the data are collected,REF_PERIOD:Reference Period,COVERAGE_TIME:The period of time for which data are provided,AGE:Current age
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AFG: Afghanistan,CME_MRY0: Infant mortality rate,_T: Total,2000,90.1540712655291,,D_PER_1000_B: Deaths per 1000 live births,A: Normal value,,84.3791827353624,96.6176853890796,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AFG: Afghanistan,CME_MRY0: Infant mortality rate,_T: Total,2001,87.5605355979297,,D_PER_1000_B: Deaths per 1000 live births,A: Normal value,,82.0252198118469,93.8612357355594,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AFG: Afghanistan,CME_MRY0: Infant mortality rate,_T: Total,2002,84.9317621551229,,D_PER_1000_B: Deaths per 1000 live births,A: Normal value,,79.5448218493332,91.1347745609558,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AFG: Afghanistan,CME_MRY0: Infant mortality rate,_T: Total,2003,82.3004225756457,,D_PER_1000_B: Deaths per 1000 live births,A: Normal value,,77.0915441920322,88.2987481567351,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AFG: Afghanistan,CME_MRY0: Infant mortality rate,_T: Total,2004,79.6460076034651,,D_PER_1000_B: Deaths per 1000 live births,A: Normal value,,74.6651249138169,85.4200303870915,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AFG: Afghanistan,CME_MRY0: Infant mortality rate,_T: Total,2005,76.9887804925366,,D_PER_1000_B: Deaths per 1000 live births,A: Normal value,,72.1453159075763,82.4731551754277,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AFG: Afghanistan,CME_MRY0: Infant mortality rate,_T: Total,2006,74.3127785699193,,D_PER_1000_B: Deaths per 1000 live births,A: Normal value,,69.6093789809895,79.6406438522427,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AFG: Afghanistan,CME_MRY0: Infant mortality rate,_T: Total,2007,71.660270206398,,D_PER_1000_B: Deaths per 1000 live births,A: Normal value,,67.074494341652,76.7903265660584,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AFG: Afghanistan,CME_MRY0: Infant mortality rate,_T: Total,2008,69.035405568349,,D_PER_1000_B: Deaths per 1000 live births,A: Normal value,,64.5661804730768,74.193155756316,,,,UN_IGME,,,,,,_T: Total
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AFG: Afghanistan,CME_MRY0: Infant mortality rate,_T: Total,2009,66.5258234811252,,D_PER_1000_B: Deaths per 1000 live births,A: Normal value,,61.9236092386175,71.6682764738893,,,,UN_IGME,,,,,,_T: Total
