,Nome,Parte edibile,Acqua,Energia,Energia.1,Proteine totali,Proteine animali,Proteine vegetali,Lipidi totali,Lipidi animali,Lipidi vegetali,Lipidi saturi,Acido oleico,Monoinsaturi totali,Acido linoleico,Acido linolenico,Altri polinsaturi,Polinsaturi totali,Colesterolo,Glucidi dispon.,Amido,Glucidi solubili,Fibra alimentare ,Alcool,Fe,Ca,Na,K,P,Zn,B1,B2,Niacina,Vit. C,Vit. B6,Acido Folico,Retinolo equivalenti,Vit. A,b-carotene,Vit. E,Vit. D,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44
0,ACCIUGHE,75,"76,5",96,402,"16,8","16,8",0,"2,6","2,6",0,"0,69","0,34","0,63","0,05",0,"0,83","0,88",70,"1,5",0,"1,5",0,0,"2,8",148,104,278,196,"1,5","0,06","0,26",14,0,"0,14",9,32,32,0,"0,29",11,,,,
1,ALICI,75,"76,5",96,402,"16,8","16,8",0,"2,6","2,6",0,"0,69","0,34","0,63","0,05",0,"0,83","0,88",70,"1,5",0,"1,5",0,0,"2,8",148,104,278,196,"1,5","0,06","0,26",14,0,"0,14",9,32,32,0,"0,29",11,,,,
2,ACCIUGHE SOTTO SALE,50,"53,8",128,536,25,25,0,"3,1","3,1",0,"0,82","0,4","0,76","0,06",0,"0,99","1,05",70,0,0,0,0,0,"6,9",542,3604,215,481,"1,7","0,06","0,26",14,0,"0,14",8,55,55,0,"0,29","4,6",,,,
3,ACCIUGHE SOTT'OLIO,100,56,206,862,"25,9","25,9",0,"11,3","6,6","4,7","2,21","5,33","6,17","0,8","0,11","1,33","2,24",120,"0,2",0,"0,2",0,0,"1,3",44,480,700,351,"2,2","0,06","0,2","6,5",0,"0,18",8,58,58,0,"0,31",5,,,,
4,ALICI SOTTO SALE,50,"53,8",128,536,25,25,0,"3,1","3,1",0,"0,82","0,4","0,76","0,06",0,"0,99","1,05",70,0,0,0,0,0,"6,9",542,3604,215,481,"1,7","0,06","0,26",14,0,"0,14",8,55,55,0,"0,29","4,6",,,,
5,ALICI SOTT'OLIO,100,56,206,862,"25,9","25,9",0,"11,3","6,6","4,7","2,21","5,33","6,17","0,8","0,11","1,33","2,24",120,"0,2",0,"0,2",0,0,"1,3",44,480,700,351,"2,2","0,06","0,2","6,5",0,"0,18",8,58,58,0,"0,31",5,,,,
6,ACQUA,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
7,AGAR AGAR,100,"9,7",16,67,"1,6",0,"1,6","1,2",0,"1,2","0,24","0,04","0,11","0,02",0,"0,39","0,41",0,0,0,0,"81,1",0,"20,6",760,110,110,50,"14,4","0,01","0,22","0,2",0,0,0,0,0,0,0,0,,,,
8,AGLIO,75,80,41,172,"0,9",0,"0,9","0,6",0,"0,6","0,11","0,01","0,01","0,27","0,02",0,"0,3",0,"8,4",0,"8,4","2,3",0,"1,5",14,2,347,63,"0,6","0,14","0,02","1,3",5,"0,21",3,5,0,30,"0,01",0,,,,
9,AGNELLO,83,"70,1",162,678,"20,8","20,8",0,"8,8","8,8",0,"4,15","3,14","3,25","0,2","0,2",0,"0,41",71,0,0,0,0,0,"1,6",7,88,350,190,"3,3","0,14","0,28",6,0,"0,3",6,0,0,0,"0,09","0,4",,,,
