Type,Region,Residence Type,Service Type,Year,Coverage,Population,Service level
m49,Europe,total,Sanitation,2000,29.16417,211424076.28279,Basic service
m49,Europe,rural,Sanitation,2000,43.1298,90462947.35272,Basic service
m49,Europe,urban,Sanitation,2000,23.47854,120961129.01943,Basic service
m49,Europe,total,Sanitation,2000,1.03821,7526422.54997,Limited service
m49,Europe,rural,Sanitation,2000,1.13558,2381834.41932,Limited service
m49,Europe,urban,Sanitation,2000,0.99856,5144588.1232,Limited service
m49,Europe,total,Sanitation,2000,0.02483,179986.25797,Open defecation
m49,Europe,rural,Sanitation,2000,0.06985,146501.11649,Open defecation
m49,Europe,urban,Sanitation,2000,0.0065,33485.14236,Open defecation
m49,Europe,total,Sanitation,2000,64.94009,470779605.34205,Safely managed service
m49,Europe,rural,Sanitation,2000,43.53433,91311413.19279,Safely managed service
m49,Europe,urban,Sanitation,2000,73.65473,379468190.9624,Safely managed service
m49,Europe,total,Sanitation,2000,4.8327,35034390.56522,Unimproved
m49,Europe,rural,Sanitation,2000,12.13044,25443091.40728,Unimproved
m49,Europe,urban,Sanitation,2000,1.86167,9591301.5859,Unimproved
m49,Europe,total,Drinking water,2000,8.80604,63838877.4464,Basic service
m49,Europe,rural,Drinking water,2000,18.73935,39304995.31423,Basic service
m49,Europe,urban,Drinking water,2000,4.76202,24533882.30966,Basic service
m49,Europe,total,Drinking water,2000,0.37194,2696360.03371,Limited service
m49,Europe,rural,Drinking water,2000,0.7036,1475766.47936,Limited service
m49,Europe,urban,Drinking water,2000,0.23692,1220593.55923,Limited service
m49,Europe,total,Drinking water,2000,89.39006,648028340.91637,Safely managed service
m49,Europe,rural,Drinking water,2000,76.57435,160611470.99565,Safely managed service
m49,Europe,urban,Drinking water,2000,94.60755,487416868.7267,Safely managed service
m49,Europe,total,Drinking water,2000,0.19479,1412101.45203,Surface water
m49,Europe,rural,Drinking water,2000,0.55724,1168778.39811,Surface water
m49,Europe,urban,Drinking water,2000,0.04723,243323.06175,Surface water
m49,Europe,total,Drinking water,2000,1.23717,8968801.15022,Unimproved
m49,Europe,rural,Drinking water,2000,3.42547,7184776.30146,Unimproved
m49,Europe,urban,Drinking water,2000,0.34628,1784027.17596,Unimproved
m49,Europe,total,Sanitation,2001,23.70086,171868877.24679,Basic service
m49,Europe,rural,Sanitation,2001,42.47326,88710870.68733,Basic service
m49,Europe,urban,Sanitation,2001,23.26734,120128323.83359,Basic service
m49,Europe,total,Sanitation,2001,1.00197,7265847.53558,Limited service
m49,Europe,rural,Sanitation,2001,1.0733,2241715.06046,Limited service
m49,Europe,urban,Sanitation,2001,0.97311,5024132.56088,Limited service
m49,Europe,total,Sanitation,2001,0.02258,163725.26075,Open defecation
m49,Europe,rural,Sanitation,2001,0.06332,132257.13476,Open defecation
m49,Europe,urban,Sanitation,2001,0.00609,31468.128,Open defecation
m49,Europe,total,Sanitation,2001,70.22819,509265834.91582,Safely managed service
m49,Europe,rural,Sanitation,2001,43.52079,90898784.03298,Safely managed service
m49,Europe,urban,Sanitation,2001,73.87174,381396741.81088,Safely managed service
m49,Europe,total,Sanitation,2001,5.04641,36594462.34033,Unimproved
m49,Europe,rural,Sanitation,2001,12.86933,26879252.12578,Unimproved
m49,Europe,urban,Sanitation,2001,1.88171,9715204.42177,Unimproved
m49,Europe,total,Drinking water,2001,8.72239,63251186.52482,Basic service
m49,Europe,rural,Drinking water,2001,18.63621,38924122.4065,Basic service
m49,Europe,urban,Drinking water,2001,4.71185,24327064.76168,Basic service
m49,Europe,total,Drinking water,2001,0.37091,2689654.65571,Limited service
m49,Europe,rural,Drinking water,2001,0.698,1457863.32053,Limited service
m49,Europe,urban,Drinking water,2001,0.23858,1231791.36299,Limited service
m49,Europe,total,Drinking water,2001,89.49615,648989141.74468,Safely managed service
m49,Europe,rural,Drinking water,2001,76.72865,160257661.34475,Safely managed service
m49,Europe,urban,Drinking water,2001,94.66113,488731488.27153,Safely managed service
m49,Europe,total,Drinking water,2001,0.19359,1403810.15335,Surface water
m49,Europe,rural,Drinking water,2001,0.55635,1162004.2266,Surface water
m49,Europe,urban,Drinking water,2001,0.04683,241805.9397,Surface water
m49,Europe,total,Drinking water,2001,1.21697,8824954.22144,Unimproved
m49,Europe,rural,Drinking water,2001,3.3808,7061227.74273,Unimproved
m49,Europe,urban,Drinking water,2001,0.34161,1763720.41818,Unimproved
m49,Europe,total,Sanitation,2002,23.56652,171021915.06456,Basic service
m49,Europe,rural,Sanitation,2002,42.53487,88360304.1042,Basic service
m49,Europe,urban,Sanitation,2002,23.07517,119520744.31985,Basic service
m49,Europe,total,Sanitation,2002,1.00129,7266320.24354,Limited service
m49,Europe,rural,Sanitation,2002,1.07043,2223660.91895,Limited service
m49,Europe,urban,Sanitation,2002,0.97356,5042659.34453,Limited service
m49,Europe,total,Sanitation,2002,0.02073,150472.13919,Open defecation
m49,Europe,rural,Sanitation,2002,0.05824,120982.81009,Open defecation
m49,Europe,urban,Sanitation,2002,0.00569,29489.33011,Open defecation
m49,Europe,total,Sanitation,2002,70.49666,511593344.15455,Safely managed service
m49,Europe,rural,Sanitation,2002,43.73404,90851427.24503,Safely managed service
m49,Europe,urban,Sanitation,2002,74.11401,383882785.09273,Safely managed service
m49,Europe,total,Sanitation,2002,4.9148,35666627.29815,Unimproved
m49,Europe,rural,Sanitation,2002,12.60242,26179791.97154,Unimproved
m49,Europe,urban,Sanitation,2002,1.83157,9486834.06868,Unimproved
m49,Europe,total,Drinking water,2002,8.62873,62618597.8229,Basic service
m49,Europe,rural,Drinking water,2002,18.54061,38515557.87509,Basic service
m49,Europe,urban,Drinking water,2002,4.65343,24103040.32674,Basic service
m49,Europe,total,Drinking water,2002,0.37007,2685559.95544,Limited service
m49,Europe,rural,Drinking water,2002,0.69935,1452795.45956,Limited service
